date,data_source,cpi,Alimentos y Bebidas No Alcohólicas,Bebidas Alcohólicas y Tabaco,Bienes y Servicios Diversos,"Muebles, Bienes y Servicios Domésticos",Prendas de Vestir y Calzado
2024-07-29,2024_07.csv,100.00000000000003,100.0,100.0,100.0,100.0,100.0
2024-07-30,2024_07.csv,100.08746267197711,100.09830368267392,100.00919239345838,100.21574226686549,100.0,100.0
2024-07-31,2024_07.csv,100.08746267197711,100.09830368267392,100.00919239345838,100.21574226686549,100.0,100.0
2024-08-01,2024_08.csv,100.62166087790274,100.78874663295909,100.63745849479137,100.86031515457441,100.35236384063062,100.0
2024-08-02,2024_08.csv,100.91023526346584,101.08313687584223,101.30475139329491,101.60314813085485,100.35497122035062,100.0
2024-08-03,2024_08.csv,100.71590498467219,100.74098553775646,101.01585532461212,101.54919313828803,100.41627999432909,100.0
2024-08-04,2024_08.csv,100.72281963979688,100.73456415113743,101.04896314507799,101.60926340450122,100.42134814174142,100.0
2024-08-05,2024_08.csv,100.72281963979688,100.73456415113743,101.04896314507799,101.60926340450122,100.42134814174142,100.0
2024-08-06,2024_08.csv,100.72231228147089,100.73364299391068,101.04896314507799,101.60926340450122,100.42134814174142,100.0
2024-08-07,2024_08.csv,100.9537141017409,100.98508362875774,101.1529319265785,101.78755212878457,100.93569278891994,100.0
2024-08-08,2024_08.csv,100.9537141017409,100.98508362875774,101.1529319265785,101.78755212878457,100.93569278891994,100.0
2024-08-09,2024_08.csv,102.5411594212694,101.40513410026892,101.15533321114658,102.22651927400213,102.36549283444538,107.22422267668446
2024-08-10,2024_08.csv,102.92744765995603,101.55291312826068,101.16741551257589,103.98416666559964,102.64486297217532,107.22422267668446
2024-08-11,2024_08.csv,103.42189411405863,102.43355412979531,101.31115260301019,104.01498895623367,102.66177281669255,107.22422267668446
2024-08-12,2024_08.csv,103.41153132277742,102.43898694092448,101.31115260301019,104.00960565898309,102.56054059456115,107.22422267668446
2024-08-13,2024_08.csv,103.46649785466589,102.48884989995875,101.31115260301019,104.06305114121646,102.71641241188864,107.22422267668446
2024-08-14,2024_08.csv,103.46649785466589,102.48884989995875,101.31115260301019,104.06305114121646,102.71641241188864,107.22422267668446
2024-08-15,2024_08.csv,103.47335042503775,102.4936221965688,101.31115260301019,104.08052282780056,102.7288494517557,107.22422267668446
2024-08-16,2024_08.csv,103.52243583958649,102.57249157148519,101.31115260301019,104.11321157545461,102.73387594628755,107.22422267668446
2024-08-17,2024_08.csv,103.55278691876404,102.62759683829943,101.31115260301019,104.11321157545461,102.73387594628755,107.22422267668446
2024-08-18,2024_08.csv,103.60414277956306,102.70427814150504,101.31115260301019,104.16172991899657,102.74733053223662,107.22422267668446
2024-08-19,2024_08.csv,103.60300513741201,102.71154520562085,101.31115260301019,104.11949904442734,102.75823579360876,107.22422267668446
2024-08-20,2024_08.csv,103.60103312945225,102.71154520562085,101.31115260301019,104.11949904442734,102.74230080165749,107.22422267668446
2024-08-21,2024_08.csv,103.69856550203545,102.92075197717207,101.31115260301019,103.99553583820449,102.75324692564098,107.22422267668446
2024-08-22,2024_08.csv,103.73146889859271,102.94457212678685,101.31115260301019,104.03125582553486,102.86875428089388,107.22422267668446
2024-08-23,2024_08.csv,103.84086674337716,103.00919102972601,101.31115260301019,104.42193785528453,102.98001731972892,107.22422267668446
2024-08-24,2024_08.csv,104.03869355888268,103.02795173930251,101.31115260301019,105.6420129075556,102.98001731972892,107.22422267668446
2024-08-25,2024_08.csv,104.04197053061729,103.02227821198025,101.31115260301019,105.67301125278887,102.99325510988517,107.22422267668446
2024-08-26,2024_08.csv,104.05285796633589,103.03640933386309,101.31115260301019,105.6799028472882,103.00978142900277,107.22422267668446
2024-08-27,2024_08.csv,104.04904280241814,103.03640933386309,101.31115260301019,105.6799028472882,102.97895264556871,107.22422267668446
2024-08-28,2024_08.csv,104.60398138400535,103.63593366700643,102.03875790350128,106.31334995331568,103.56848186353538,107.49325020292038
2024-08-29,2024_08.csv,104.64492194423357,103.66780318001827,102.08748055035622,106.32742969666992,103.73292967773861,107.49325020292038
2024-08-30,2024_08.csv,105.04959237998057,104.10708565687936,103.10956509700733,106.88898749943871,104.20254791333593,107.49325020292038
2024-08-31,2024_08.csv,105.36497295608672,104.54827461241688,103.52481543239334,107.19448799827029,104.34796329260097,107.49325020292038
2024-09-01,2024_09.csv,106.94509327933663,105.25627987241441,103.59443941863114,108.17671423525854,104.98934839594287,113.72287857861684
2024-09-02,2024_09.csv,106.93597706381925,105.23966885877162,103.59443941863114,108.17671423525854,104.98961391581214,113.72287857861684
2024-09-03,2024_09.csv,106.93597706381925,105.23966885877162,103.59443941863114,108.17671423525854,104.98961391581214,113.72287857861684
2024-09-04,2024_09.csv,107.04677492914102,105.31245920101682,104.30331884855246,108.5224255577421,105.02906425775652,113.72287857861684
2024-09-05,2024_09.csv,107.07948224344054,105.32718265954166,104.10743724201603,108.66499221391143,105.07914503465237,113.72287857861684
2024-09-06,2024_09.csv,107.11004053710032,105.35920644828138,104.10743724201603,108.75378581893209,105.07328541726781,113.72287857861684
2024-09-07,2024_09.csv,107.12945656998915,105.35439445165082,104.13327456656533,108.84965476504695,105.12880761066936,113.72287857861684
2024-09-08,2024_09.csv,107.17141271288523,105.41470722496274,104.13327456656533,108.88234507945637,105.15881250883919,113.72287857861684
2024-09-09,2024_09.csv,107.17299719282967,105.41758399878647,104.13327456656533,108.88234507945637,105.15881250883919,113.72287857861684
2024-09-10,2024_09.csv,107.17106451447461,105.41407503767842,104.13327456656533,108.88234507945637,105.15881250883919,113.72287857861684
2024-09-11,2024_09.csv,107.18453442950238,105.44237063759736,104.11014609762961,108.88234507945637,105.14507090426208,113.72287857861684
2024-09-12,2024_09.csv,107.14861469591818,105.45438550243577,104.11014609762961,108.91914551119268,104.75564623105018,113.72287857861684
2024-09-13,2024_09.csv,107.17621584164334,105.44122279830583,104.11014609762961,108.97414927968521,104.96896014735191,113.72287857861684
2024-09-14,2024_09.csv,107.04739502223187,105.38797421141017,103.428635995016,108.60374906948662,104.72359672317597,113.72287857861684
2024-09-15,2024_09.csv,107.1388912511389,105.47067448934659,103.45388202892431,108.64414267180267,105.0410559333598,113.72287857861684
2024-09-16,2024_09.csv,107.137452186328,105.46806173050847,103.45388202892431,108.64414267180267,105.0410559333598,113.72287857861684
2024-09-17,2024_09.csv,107.137452186328,105.46806173050847,103.45388202892431,108.64414267180267,105.0410559333598,113.72287857861684
2024-09-18,2024_09.csv,107.20027937243513,105.58083664864108,103.45388202892431,108.64490754921985,105.0458644110366,113.72287857861684
2024-09-19,2024_09.csv,107.24535184096732,105.63482988557791,103.45388202892431,108.68544817004877,105.11942883541445,113.72287857861684
2024-09-20,2024_09.csv,107.26506399003536,105.65971008921193,103.53779161054948,108.68660642973626,105.1543982895109,113.72287857861684
2024-09-21,2024_09.csv,107.27332261565172,105.6741466959578,103.53779161054948,108.68660642973626,105.15688047668002,113.72287857861684
2024-09-22,2024_09.csv,107.36735304094344,105.62866691188538,103.53779161054948,108.69059377770294,105.17683377564894,114.47671154378918
2024-09-23,2024_09.csv,107.37324940199662,105.63937231537916,103.53779161054948,108.69059377770294,105.17683377564894,114.47671154378918
2024-09-24,2024_09.csv,107.37324940199662,105.63937231537916,103.53779161054948,108.69059377770294,105.17683377564894,114.47671154378918
2024-09-25,2024_09.csv,107.37050947694141,105.65549574366963,103.53779161054948,108.61497622968945,105.17683377564894,114.47671154378918
2024-09-26,2024_09.csv,107.39905744053128,105.7017570690252,103.53779161054948,108.61987238013103,105.19554496828299,114.47671154378918
2024-09-27,2024_09.csv,107.39920484449509,105.69816466449564,103.53779161054948,108.62606947329674,105.20502923964976,114.47671154378918
2024-09-28,2024_09.csv,107.44194350741917,105.74390673811234,103.53779161054948,108.65480863708055,105.31111300787748,114.47671154378918
