date,month,data_source,cpi
2024-11-16,2024-11,2024_11.csv,108.658746
2024-11-17,2024-11,2024_11.csv,108.653481
2024-11-18,2024-11,2024_11.csv,108.659893
2024-11-19,2024-11,2024_11.csv,108.637843
2024-11-20,2024-11,2024_11.csv,108.67981
2024-11-21,2024-11,2024_11.csv,108.768829
2024-11-22,2024-11,2024_11.csv,108.787378
2024-11-23,2024-11,2024_11.csv,108.484141
2024-11-24,2024-11,2024_11.csv,108.512766
2024-11-25,2024-11,2024_11.csv,108.520364
2024-11-26,2024-11,2024_11.csv,108.533925
2024-11-27,2024-11,2024_11.csv,108.560276
2024-11-28,2024-11,2024_11.csv,108.611025
2024-11-29,2024-11,2024_11.csv,108.759261
2024-11-30,2024-11,2024_11.csv,108.797888
2024-12-01,2024-12,2024_12.csv,108.369401
2024-12-02,2024-12,2024_12.csv,108.503547
2024-12-03,2024-12,2024_12.csv,108.525446
2024-12-04,2024-12,2024_12.csv,109.067148
2024-12-05,2024-12,2024_12.csv,109.077585
2024-12-06,2024-12,2024_12.csv,109.120669
2024-12-07,2024-12,2024_12.csv,108.808036
2024-12-08,2024-12,2024_12.csv,108.767631
2024-12-09,2024-12,2024_12.csv,108.77969
2024-12-10,2024-12,2024_12.csv,108.783013
2024-12-11,2024-12,2024_12.csv,108.806549
2024-12-12,2024-12,2024_12.csv,108.699687
2024-12-13,2024-12,2024_12.csv,108.681897
2024-12-14,2024-12,2024_12.csv,108.785232
2024-12-15,2024-12,2024_12.csv,108.923343
2024-12-16,2024-12,2024_12.csv,108.897775
2024-12-17,2024-12,2024_12.csv,108.89809
2024-12-18,2024-12,2024_12.csv,108.95123
2024-12-19,2024-12,2024_12.csv,108.986675
2024-12-20,2024-12,2024_12.csv,108.986675
2024-12-21,2024-12,2024_12.csv,108.986191
2024-12-22,2024-12,2024_12.csv,109.015342
2024-12-23,2024-12,2024_12.csv,109.05678
2024-12-24,2024-12,2024_12.csv,109.060012
2024-12-25,2024-12,2024_12.csv,109.15267
2024-12-26,2024-12,2024_12.csv,109.19873
2024-12-27,2024-12,2024_12.csv,109.396063
2024-12-28,2024-12,2024_12.csv,109.345033
2024-12-29,2024-12,2024_12.csv,109.373725
2024-12-30,2024-12,2024_12.csv,109.381012
2024-12-31,2024-12,2024_12.csv,109.380569
2025-01-01,2025-01,2025_01.csv,109.129845
2025-01-02,2025-01,2025_01.csv,109.927205
2025-01-03,2025-01,2025_01.csv,109.947178
2025-01-04,2025-01,2025_01.csv,110.084389
2025-01-05,2025-01,2025_01.csv,110.358059
2025-01-06,2025-01,2025_01.csv,110.358464
2025-01-07,2025-01,2025_01.csv,110.667605
2025-01-08,2025-01,2025_01.csv,110.666738
2025-01-09,2025-01,2025_01.csv,110.743126
2025-01-10,2025-01,2025_01.csv,110.721956
2025-01-11,2025-01,2025_01.csv,110.767939
2025-01-12,2025-01,2025_01.csv,110.738157
2025-01-13,2025-01,2025_01.csv,110.66271
2025-01-14,2025-01,2025_01.csv,110.415995
2025-01-15,2025-01,2025_01.csv,110.458887
2025-01-16,2025-01,2025_01.csv,110.459433
2025-01-17,2025-01,2025_01.csv,110.45724
2025-01-18,2025-01,2025_01.csv,110.513165
2025-01-19,2025-01,2025_01.csv,110.528569
2025-01-20,2025-01,2025_01.csv,110.553752
2025-01-21,2025-01,2025_01.csv,110.552489
2025-01-22,2025-01,2025_01.csv,110.596443
2025-01-23,2025-01,2025_01.csv,110.59269
2025-01-24,2025-01,2025_01.csv,110.599417
2025-01-25,2025-01,2025_01.csv,110.608797
2025-01-26,2025-01,2025_01.csv,110.614163
2025-01-27,2025-01,2025_01.csv,110.632557
2025-01-28,2025-01,2025_01.csv,110.636148
2025-01-29,2025-01,2025_01.csv,110.806666
2025-01-30,2025-01,2025_01.csv,110.848553
2025-01-31,2025-01,2025_01.csv,110.904696
2025-02-01,2025-02,2025_02.csv,110.86198
2025-02-02,2025-02,2025_02.csv,111.285935
2025-02-03,2025-02,2025_02.csv,111.42171
2025-02-04,2025-02,2025_02.csv,111.421064
2025-02-05,2025-02,2025_02.csv,111.445144
2025-02-06,2025-02,2025_02.csv,111.441168
2025-02-07,2025-02,2025_02.csv,111.480951
2025-02-08,2025-02,2025_02.csv,111.361448
2025-02-09,2025-02,2025_02.csv,111.350529
2025-02-10,2025-02,2025_02.csv,111.284676
2025-02-11,2025-02,2025_02.csv,111.32293
2025-02-12,2025-02,2025_02.csv,111.329022
2025-02-13,2025-02,2025_02.csv,111.355148
2025-02-14,2025-02,2025_02.csv,111.316908
2025-02-15,2025-02,2025_02.csv,111.165582
2025-02-16,2025-02,2025_02.csv,111.065561
2025-02-17,2025-02,2025_02.csv,111.133739
2025-02-18,2025-02,2025_02.csv,111.133584
2025-02-19,2025-02,2025_02.csv,111.279231
2025-02-20,2025-02,2025_02.csv,111.231037
2025-02-21,2025-02,2025_02.csv,111.136602
2025-02-22,2025-02,2025_02.csv,111.128984
2025-02-23,2025-02,2025_02.csv,111.207725
2025-02-24,2025-02,2025_02.csv,111.176508
2025-02-25,2025-02,2025_02.csv,111.161202
2025-02-26,2025-02,2025_02.csv,111.248491
2025-02-27,2025-02,2025_02.csv,111.29553
2025-02-28,2025-02,2025_02.csv,111.294621
2025-03-01,2025-03,2025_03.csv,111.117841
2025-03-02,2025-03,2025_03.csv,111.163676
2025-03-03,2025-03,2025_03.csv,111.162019
2025-03-04,2025-03,2025_03.csv,111.157577
2025-03-05,2025-03,2025_03.csv,111.157627
2025-03-06,2025-03,2025_03.csv,111.162501
2025-03-07,2025-03,2025_03.csv,111.358066
2025-03-08,2025-03,2025_03.csv,111.382818
2025-03-09,2025-03,2025_03.csv,111.425985
2025-03-10,2025-03,2025_03.csv,111.318596
2025-03-11,2025-03,2025_03.csv,111.490467
2025-03-12,2025-03,2025_03.csv,111.55135
2025-03-13,2025-03,2025_03.csv,111.462931
2025-03-14,2025-03,2025_03.csv,111.474691
2025-03-15,2025-03,2025_03.csv,111.503234
2025-03-16,2025-03,2025_03.csv,111.388866
2025-03-17,2025-03,2025_03.csv,111.382798
2025-03-18,2025-03,2025_03.csv,111.388456
2025-03-19,2025-03,2025_03.csv,111.426616
2025-03-20,2025-03,2025_03.csv,111.460267
2025-03-21,2025-03,2025_03.csv,111.641647
2025-03-22,2025-03,2025_03.csv,111.520039
2025-03-23,2025-03,2025_03.csv,111.545715
2025-03-24,2025-03,2025_03.csv,111.557508
2025-03-25,2025-03,2025_03.csv,111.536494
2025-03-26,2025-03,2025_03.csv,111.728094
2025-03-27,2025-03,2025_03.csv,111.71796
2025-03-28,2025-03,2025_03.csv,111.936089
2025-03-29,2025-03,2025_03.csv,112.123938
2025-03-30,2025-03,2025_03.csv,112.200302
2025-03-31,2025-03,2025_03.csv,112.422082
2025-04-01,2025-04,2025_04.csv,112.139463
2025-04-02,2025-04,2025_04.csv,113.950824
2025-04-03,2025-04,2025_04.csv,114.178684
2025-04-04,2025-04,2025_04.csv,114.278146
2025-04-05,2025-04,2025_04.csv,114.303001
2025-04-06,2025-04,2025_04.csv,114.19505
2025-04-07,2025-04,2025_04.csv,114.203521
2025-04-08,2025-04,2025_04.csv,114.06794
2025-04-09,2025-04,2025_04.csv,114.083582
2025-04-10,2025-04,2025_04.csv,114.082922
2025-04-11,2025-04,2025_04.csv,114.089405
2025-04-12,2025-04,2025_04.csv,114.371626
2025-04-13,2025-04,2025_04.csv,114.508339
2025-04-14,2025-04,2025_04.csv,114.51846
2025-04-15,2025-04,2025_04.csv,114.526213
2025-04-16,2025-04,2025_04.csv,114.593619
2025-04-17,2025-04,2025_04.csv,114.848145
2025-04-18,2025-04,2025_04.csv,115.100304
2025-04-19,2025-04,2025_04.csv,115.109112
2025-04-20,2025-04,2025_04.csv,115.113889
2025-04-21,2025-04,2025_04.csv,115.122134
2025-04-22,2025-04,2025_04.csv,115.136697
2025-04-23,2025-04,2025_04.csv,115.236382
2025-04-24,2025-04,2025_04.csv,115.256927
2025-04-25,2025-04,2025_04.csv,115.269091
2025-04-26,2025-04,2025_04.csv,115.289537
2025-04-27,2025-04,2025_04.csv,115.342627
2025-04-28,2025-04,2025_04.csv,115.396627
2025-04-29,2025-04,2025_04.csv,115.409925
2025-04-30,2025-04,2025_04.csv,115.670445
2025-05-01,2025-05,2025_05.csv,116.034552
2025-05-02,2025-05,2025_05.csv,117.33421
2025-05-03,2025-05,2025_05.csv,117.3332
2025-05-04,2025-05,2025_05.csv,118.130079
2025-05-05,2025-05,2025_05.csv,118.131018
2025-05-06,2025-05,2025_05.csv,118.132084
2025-05-07,2025-05,2025_05.csv,120.02302
2025-05-08,2025-05,2025_05.csv,121.118748
2025-05-09,2025-05,2025_05.csv,121.268426
2025-05-10,2025-05,2025_05.csv,121.091397
2025-05-11,2025-05,2025_05.csv,120.926849
2025-05-12,2025-05,2025_05.csv,120.967087
2025-05-13,2025-05,2025_05.csv,120.988829
2025-05-14,2025-05,2025_05.csv,121.389066
2025-05-15,2025-05,2025_05.csv,121.33508
2025-05-16,2025-05,2025_05.csv,121.447261
2025-05-17,2025-05,2025_05.csv,121.467092
2025-05-18,2025-05,2025_05.csv,122.273661
2025-05-19,2025-05,2025_05.csv,122.40321
2025-05-20,2025-05,2025_05.csv,122.416132
2025-05-21,2025-05,2025_05.csv,122.989072
2025-05-22,2025-05,2025_05.csv,123.493498
2025-05-23,2025-05,2025_05.csv,123.70337
2025-05-24,2025-05,2025_05.csv,123.848335
2025-05-25,2025-05,2025_05.csv,123.941316
2025-05-26,2025-05,2025_05.csv,124.119428
2025-05-27,2025-05,2025_05.csv,124.137081
2025-05-28,2025-05,2025_05.csv,125.117787
2025-05-29,2025-05,2025_05.csv,125.284863
2025-05-30,2025-05,2025_05.csv,126.615677
2025-05-31,2025-05,2025_05.csv,126.863444
2025-06-01,2025-06,2025_06.csv,127.221757
2025-06-02,2025-06,2025_06.csv,127.599765
2025-06-03,2025-06,2025_06.csv,128.456907
2025-06-04,2025-06,Forward Fill,128.456907
2025-06-05,2025-06,Forward Fill,128.456907
2025-06-06,2025-06,Forward Fill,128.456907
2025-06-07,2025-06,Forward Fill,128.456907
2025-06-08,2025-06,Forward Fill,128.456907
2025-06-09,2025-06,Forward Fill,128.456907
2025-06-10,2025-06,Forward Fill,128.456907
2025-06-11,2025-06,2025_06.csv,129.245225
2025-06-12,2025-06,2025_06.csv,129.245225
2025-06-13,2025-06,2025_06.csv,129.51438
2025-06-14,2025-06,2025_06.csv,129.540238
2025-06-15,2025-06,2025_06.csv,129.621638
2025-06-16,2025-06,2025_06.csv,129.676932
2025-06-17,2025-06,2025_06.csv,129.704379
2025-06-18,2025-06,2025_06.csv,129.85264
2025-06-19,2025-06,2025_06.csv,130.011258
2025-06-20,2025-06,2025_06.csv,130.276915
2025-06-21,2025-06,2025_06.csv,130.297529
2025-06-22,2025-06,2025_06.csv,130.367403
2025-06-23,2025-06,2025_06.csv,130.407722
2025-06-24,2025-06,2025_06.csv,130.398502
2025-06-25,2025-06,2025_06.csv,131.27337
2025-06-26,2025-06,2025_06.csv,131.379133
2025-06-27,2025-06,2025_06.csv,131.924026
2025-06-28,2025-06,2025_06.csv,131.965695
2025-06-29,2025-06,2025_06.csv,131.99281
2025-06-30,2025-06,2025_06.csv,132.024265
2025-07-01,2025-07,2025_07.csv,132.515391
2025-07-02,2025-07,2025_07.csv,132.998934
2025-07-03,2025-07,2025_07.csv,133.780035
2025-07-04,2025-07,2025_07.csv,133.799025
2025-07-05,2025-07,2025_07.csv,133.808089
2025-07-06,2025-07,2025_07.csv,133.720654
2025-07-07,2025-07,2025_07.csv,133.72259
2025-07-08,2025-07,2025_07.csv,133.967501
2025-07-09,2025-07,2025_07.csv,134.012951
2025-07-10,2025-07,2025_07.csv,134.054925
2025-07-11,2025-07,2025_07.csv,134.074066
2025-07-12,2025-07,2025_07.csv,134.352769
2025-07-13,2025-07,2025_07.csv,134.406988
2025-07-14,2025-07,2025_07.csv,134.410305
2025-07-15,2025-07,2025_07.csv,134.424509
2025-07-16,2025-07,2025_07.csv,134.379681
2025-07-17,2025-07,2025_07.csv,134.535587
2025-07-18,2025-07,2025_07.csv,134.537247
2025-07-19,2025-07,2025_07.csv,134.561375
2025-07-20,2025-07,2025_07.csv,134.685575
2025-07-21,2025-07,2025_07.csv,134.709441
2025-07-22,2025-07,2025_07.csv,134.735211
2025-07-23,2025-07,2025_07.csv,134.850512
2025-07-24,2025-07,2025_07.csv,134.822529
2025-07-25,2025-07,2025_07.csv,134.845222
2025-07-26,2025-07,2025_07.csv,134.86291
2025-07-27,2025-07,2025_07.csv,134.958202
2025-07-28,2025-07,2025_07.csv,134.962204
2025-07-29,2025-07,2025_07.csv,135.048574
2025-07-30,2025-07,2025_07.csv,135.143988
2025-07-31,2025-07,2025_07.csv,135.226713
2025-08-01,2025-08,2025_08.csv,134.927641
2025-08-02,2025-08,2025_08.csv,134.926889
2025-08-03,2025-08,2025_08.csv,134.770519
2025-08-04,2025-08,2025_08.csv,134.770519
2025-08-05,2025-08,2025_08.csv,134.815597
2025-08-06,2025-08,2025_08.csv,134.785582
2025-08-07,2025-08,2025_08.csv,134.785582
2025-08-08,2025-08,2025_08.csv,134.777697
2025-08-09,2025-08,2025_08.csv,134.777834
2025-08-10,2025-08,2025_08.csv,134.783538
2025-08-11,2025-08,2025_08.csv,134.783538
