id_producto,producto,proveedor,categoria,Govt Cat.,,,,,,,,,,,,,,
7436977602719,Toallas Humedas Recien Nacido Huggies de 80 Uni,Huggies,Toallas Humedas,Bienes y Servicios Diversos,,,,,,,,,,,,,,
7436977635487,Toallas Humedas Recien Nacido PequeÃ±in de 40 Uni,PequeÃ±in,Toallas Humedas,Bienes y Servicios Diversos,,,,,,,,,,,,,,
7450143260831,CuÃ±ape Surtidos Pan Hogar de 100 gr,Pan Hogar,CuÃ±ape,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7450145390751,Palitos Integrales Europan,Europan,Palitos Integrales,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7450145456287,Empanadas Morenas Pan Aleman de 4 Uni,Pan Aleman,Empanadas Morenas,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7450149879967,Morenitas Integrales de 350 gr,Vikinger,Morenitas Integrales,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7450150600863,CuÃ±ape Surtidos Bread King de 25 Uni,Bread King,CuÃ±ape,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7453763600543,Te con Canela Ceylan de 20 Uni,Ceylan,Te,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7453763731615,Cerveza Pilsener PaceÃ±a de 235 ml,PaceÃ±a,Cerveza,Bebidas Alcohólicas y Tabaco,,,,,,,,,,,,,,
10483734970527,Tai TÃ© Negro Y Frutos Rojos 250 mL,Tai,Te,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392605601951,Leche Descremada Calcifem 800 ml,Pil,Leche Descremeda,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392629391519,Yogurt Pil Sabor Durazno 1000 ml,Pil,Yogurt,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392626606239,Chocolate en Polvo Toddy 200 g,Toddy,Chocolate en Polvo,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392626737311,Chocolate en Polvo Toddy 800 g,Toddy,Chocolate en Polvo,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436954861727,Chocolate en Polvo Toddy de 560 gr,Toddy,Chocolate en Polvo,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436963119263,Cafe Instantaneo Descafeinado Colcafe de 85 gr,Colcafe,Cafe,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392502808735,Gelatina Naranja Kris 230 g,Kris,Gelatina,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392502939807,Gelatina Piña Kris 230 g,Kris,Gelatina,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436950405279,Avena Instantanea Princesa de 350 gr,Princesa,Avena Instantanea,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436951486623,Cerveza Huari de Chocolate de 330 ml,Huari,Huari,Bebidas Alcohólicas y Tabaco,,,,,,,,,,,,,,
10717330243743,Sardina Aceite Vegetal,Fidalga,Sardina en Lata,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
10717330342047,Sardina en Aceite Ramirez,Fidalga,Sardina en Lata,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
10717331587231,Pescado en Lata San Lucas,Fidalga,Pescado en Lata,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392612745375,Pan Hamburguesa Fidalga 8 u,Fidalga,Pan para Hamburguesa,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436944244895,Gaseosa Pepsi de 500 ml,Pepsi,Gaseosa,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436960039071,Gaseosa sabor Papaya Salvietti de 600 ml,Salvetti,Gaseosa,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436961710239,Gaseosa sabor Pomelo Mendocina de 330 ml,Mendocina,Gaseosa,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436953125023,Nuggets Dinos Sofia de 500 gr,Sofia,Nuggets,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436983238815,Mortadela Primavera en Barra Sofia de 500 gr,Sofia,Mortadela,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
10628754636959,Insecticida Baygon Bristar,Fidalga,,"Muebles, Bienes y Servicios Domésticos",,,,,,,,,,,,,,
7392596131999,Dulce de Leche Granja de Oro 250 g,Granja de Oro,Dulce de Leche,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392600621215,Galletas 7 Semillas HogareÃ±as 189 g,HogareÃ±as,Galletas,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392604946591,Leche Chocolatada Pil en Caja 1050 l,Pil,Leche Chocolatada,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392605405343,Leche de Soya Original Soy 946 ml,Pil,Leche de Soya,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392605470879,Leche de Soya de Chocolate Ades 1 l,Ades,Leche de Soya,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392605536415,Leche de Soya de Vainilla Ades 1 l,Ades,Leche de Soya,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392605634719,Leche Deslactosada En Polvo Pil 760 g,Pil,Leche en Polvo,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392605929631,Leche de Frutilla Delizia 946 ml,Delizia,Leche de Frutilla,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392608518303,Mermelada de Ciruela Arcor 454 g,Arcor,Mermelada,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392611958943,Detergente Ola Futuro 5 l,Ola,Detergente Liquido,"Muebles, Bienes y Servicios Domésticos",,,,,,,,,,,,,,
7392612155551,Limpia Vidrios Ola Maximus LimÃ³n 900 g,Ola,Limpia Vidrios,"Muebles, Bienes y Servicios Domésticos",,,,,,,,,,,,,,
7392612221087,Lustra Muebles Flores Ola 3 En 1 850 ml,Ola,Lustra Muebles,"Muebles, Bienes y Servicios Domésticos",,,,,,,,,,,,,,
7392614252703,Papas Fritas Lays 105 g,Lays,Papa Frita,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392617595039,Patito Detergente Bebe 640 g,Patito,Detergente de Ropa,"Muebles, Bienes y Servicios Domésticos",,,,,,,,,,,,,,
7392617660575,Patito Detergente Limon 1600 g,Patito,Detergente de Ropa,"Muebles, Bienes y Servicios Domésticos",,,,,,,,,,,,,,
7392622215327,Papel Higienico Scott Doble Hoja 12 u,Scott,Papel Higienico,Bienes y Servicios Diversos,,,,,,,,,,,,,,
7392622739615,Papel Toalla Multiuso Scott 2 rollos,Scott,Servilletas,"Muebles, Bienes y Servicios Domésticos",,,,,,,,,,,,,,
7392623100063,Servilletas de Papel Hoja MÃ¡xima Suavidad Elite 400 Uni.,Elite,Servilletas,"Muebles, Bienes y Servicios Domésticos",,,,,,,,,,,,,,
7392623296671,PaÃ±o Reutilizable Scott Duramax 3 u,Scott,Servilletas,"Muebles, Bienes y Servicios Domésticos",,,,,,,,,,,,,,
7392623624351,Servilletas de Papel Scott Elegance 50 u,Scott,Servilletas,"Muebles, Bienes y Servicios Domésticos",,,,,,,,,,,,,,
7392624509087,Singani Casa Real Tradicional 750 ml,Casa Real,Singani,Bebidas Alcohólicas y Tabaco,,,,,,,,,,,,,,
7392624541855,Singani Tres Estrella 750 ml,Tres Estrella,Singani,Bebidas Alcohólicas y Tabaco,,,,,,,,,,,,,,
7392624869535,Sopa de Pollo Picante Maruchan 85 g,Maruchan,Sopa Instantanea,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392624967839,Sopa con Verduras Ajinomen 80 g,Ajinomen,Sopa Instantanea,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392625066143,Sopa de Gallina Maruchan 85 g,Maruchan,Sopa Instantanea,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392625164447,Sopa InstantÃ¡nea de Carne Ajinomen 86 g,Ajinomen,Sopa Instantanea,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392625361055,Gaseosa Sprite Original 500 Ml,Sprite,Gaseosa,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392627130527,Vinagre de Alcohol Favinco 500 ml,Favinco,Vinagre,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392627196063,Vinagre de Manzana Favinco 500 ml,Favinco,Vinagre,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436941754527,Agua sin Gas Vital de 600 ml,Vital,Agua sin Gas,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436941852831,Sante Plus con Colageno sabor Limon de 500 ml,Sante,Rehidratante,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436941918367,Sante Plus de Naranja y Limon de 500 ml,Sante,Rehidratante,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436942082207,Juguito de Durazno Pil de 150 ml,Pil,Jugo,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436942114975,Leche con Avena de 140 ml,Pil,Leche con Avena,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436942278815,Jugo de Durazno Ades de 200 ml,Ades,Jugo de Frutas,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436942311583,Juguito de Naranja Pil de 150 ml,Pil,Jugo de Frutas,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436942737567,Leche Entera Del Campo de 946 ml,Del Campo,Leche,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
