date,data_source,cpi,Alimentos y Bebidas No Alcohólicas,Bebidas Alcohólicas y Tabaco,Prendas de Vestir y Calzado,Vivienda y Servicios Básicos,"Muebles, Bienes y Servicios Domésticos",Salud,Transporte,Comunicaciones,Recreación y Cultura,Educación,Bienes y Servicios Diversos
2021-11-01,Forward Fill,99.99999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-11-02,Forward Fill,99.99999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-11-03,Forward Fill,99.99999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-11-04,Forward Fill,99.99999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-11-05,Forward Fill,99.99999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-11-06,Forward Fill,99.99999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-11-07,Forward Fill,99.99999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-11-08,Forward Fill,99.99999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-11-09,Forward Fill,99.99999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-11-10,Forward Fill,99.99999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-11-11,Forward Fill,99.99999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-11-12,Forward Fill,99.99999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-11-13,Forward Fill,99.99999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-11-14,Forward Fill,99.99999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-11-15,2021_11.csv,99.99999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-11-16,2021_11.csv,99.93176463464577,99.75354780877956,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.43507715679938
2021-11-17,2021_11.csv,99.93082018919775,99.75205800211238,99.96212649491643,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.43507715679938
2021-11-18,2021_11.csv,99.91997767219479,99.7256245749006,99.96212649491643,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.43507715679938
2021-11-19,2021_11.csv,99.89808746809888,99.67377532553549,99.89139366645593,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.43507715679938
2021-11-20,2021_11.csv,99.89872280998965,99.66496838965027,99.89139366645593,100.0,100.0,100.06985097415992,100.0,100.0,100.0,100.0,100.0,100.43507715679938
2021-11-21,2021_11.csv,99.90284002051511,99.67500590997057,99.89139366645593,100.0,100.0,100.06985097415992,100.0,100.0,100.0,100.0,100.0,100.43507715679938
2021-11-22,2021_11.csv,98.96630152343316,99.62405174782482,99.15668076439619,100.0,100.0,94.70738516850888,100.0,100.0,100.0,98.96971955708949,100.0,93.5626526612254
2021-11-23,2021_11.csv,98.97187849001142,99.63955563806823,99.06778369577457,100.0,100.0,94.70738516850888,100.0,100.0,100.0,98.96971955708949,100.0,93.5626526612254
2021-11-24,2021_11.csv,98.96037337693919,99.6130954551528,98.99375062350133,100.0,100.0,94.70738516850888,100.0,100.0,100.0,98.96971955708949,100.0,93.5626526612254
2021-11-25,2021_11.csv,98.96037337693919,99.6130954551528,98.99375062350133,100.0,100.0,94.70738516850888,100.0,100.0,100.0,98.96971955708949,100.0,93.5626526612254
2021-11-26,2021_11.csv,98.93644223869309,99.55475272894348,98.99375062350133,100.0,100.0,94.70738516850888,100.0,100.0,100.0,98.96971955708949,100.0,93.5626526612254
2021-11-27,2021_11.csv,98.93453024525023,99.55475272894348,98.99375062350133,100.0,100.0,94.70738516850888,100.0,100.0,100.0,98.92030249455726,100.0,93.57804511480593
2021-11-28,2021_11.csv,98.93453024525023,99.55475272894348,98.99375062350133,100.0,100.0,94.70738516850888,100.0,100.0,100.0,98.92030249455726,100.0,93.57804511480593
2021-11-29,2021_11.csv,99.95749385378409,99.8640965484975,100.08658088918574,100.0,100.0,98.55909472882695,100.0,100.0,100.0,99.95006850301954,100.0,101.36671825495601
2021-11-30,2021_11.csv,99.95078950882751,99.84092331805662,100.40480108420974,100.0,100.0,98.55909472882695,100.0,100.0,100.0,99.95006850301954,100.0,101.36671825495601
2021-12-01,2021_12.csv,100.27879861848258,100.26987561470085,100.88874349925749,100.0,100.0,99.224193231913,100.0,100.0,100.0,103.05745745765809,100.0,100.2283592584101
2021-12-02,2021_12.csv,100.06350651982459,100.26987561470085,100.88874349925749,100.0,100.0,99.18494739924078,100.0,100.0,100.0,99.83595750280968,100.0,100.06298712039396
2021-12-03,2021_12.csv,99.6808136070026,100.10752257696896,100.88874349925749,100.0,100.0,96.89964368522645,100.0,100.0,100.0,99.83595750280968,100.0,97.7174384097516
2021-12-04,2021_12.csv,99.59391162008556,99.90283947379763,100.55419055504368,100.0,100.0,96.89964368522645,100.0,100.0,100.0,99.83595750280968,100.0,97.7174384097516
2021-12-05,2021_12.csv,99.64887030624722,100.03682556115292,100.55419055504368,100.0,100.0,96.89964368522645,100.0,100.0,100.0,99.83595750280968,100.0,97.7174384097516
2021-12-06,2021_12.csv,99.64800053333862,100.03682556115292,100.55419055504368,100.0,100.0,96.89964368522645,100.0,100.0,100.0,99.83595750280968,100.0,97.70592054281087
2021-12-07,2021_12.csv,99.64800053333862,100.03682556115292,100.55419055504368,100.0,100.0,96.89964368522645,100.0,100.0,100.0,99.83595750280968,100.0,97.70592054281087
2021-12-08,2021_12.csv,98.59215487661281,98.61523238375734,98.86483852515043,100.0,100.0,96.24592833617845,100.0,100.0,100.0,97.21192543344176,100.0,94.33092531440467
2021-12-09,2021_12.csv,98.56244179070322,98.66245624217792,98.86483852515043,100.0,100.0,95.43879597383149,100.0,100.0,100.0,97.21192543344176,100.0,94.33092531440467
2021-12-10,2021_12.csv,98.52596923196005,98.57774932548088,98.66859333265405,100.0,100.0,95.43879597383149,100.0,100.0,100.0,97.21192543344176,100.0,94.33092531440467
2021-12-11,2021_12.csv,98.51774464853466,98.55601021609456,98.74726040658955,100.0,100.0,95.43879597383149,100.0,100.0,100.0,97.21192543344176,100.0,94.33092531440467
2021-12-12,2021_12.csv,98.51651229752335,98.55601021609456,98.74726040658955,100.0,100.0,95.43879597383149,100.0,100.0,100.0,97.21192543344176,100.0,94.31460604895942
2021-12-13,2021_12.csv,98.51635641655848,98.55115344762979,98.77830192540597,100.0,100.0,95.44628559774814,100.0,100.0,100.0,97.21192543344176,100.0,94.32927328682739
2021-12-14,2021_12.csv,98.5195006137795,98.55881881798233,98.77830192540597,100.0,100.0,95.44628559774814,100.0,100.0,100.0,97.21192543344176,100.0,94.32927328682739
2021-12-15,2021_12.csv,98.49957233651243,98.50734302826275,98.67074129884361,100.0,100.0,95.48135900673036,100.0,100.0,100.0,97.21192543344176,100.0,94.32927328682739
2021-12-16,2021_12.csv,98.2938272470112,98.56305989156719,98.77585615245728,100.0,100.0,91.56131528567077,100.0,100.0,100.0,97.21192543344176,100.0,94.44662721271015
2021-12-17,2021_12.csv,98.18941658272757,98.32644922284312,98.77585615245728,100.0,100.0,91.56131528567077,100.0,100.0,100.0,97.09366583686587,100.0,94.44662721271015
2021-12-18,2021_12.csv,98.17574470725006,98.32644922284312,98.79114777584036,100.0,100.0,91.33428062468049,100.0,100.0,100.0,97.09366583686587,100.0,94.44662721271015
2021-12-19,2021_12.csv,98.17574470725006,98.32644922284312,98.79114777584036,100.0,100.0,91.33428062468049,100.0,100.0,100.0,97.09366583686587,100.0,94.44662721271015
2021-12-20,2021_12.csv,98.17906759390372,98.33442401594148,98.7970295288753,100.0,100.0,91.33428062468049,100.0,100.0,100.0,97.09366583686587,100.0,94.44662721271015
2021-12-21,2021_12.csv,98.22551386261502,98.44993350955325,98.78907085188284,100.0,100.0,91.32007951423489,100.0,100.0,100.0,97.09366583686587,100.0,94.44662721271015
2021-12-22,2021_12.csv,98.19952456742992,98.38603592714352,98.81410508144529,100.0,100.0,91.32007951423489,100.0,100.0,100.0,97.09366583686587,100.0,94.44662721271015
2021-12-23,2021_12.csv,100.10993343388104,100.44683078729773,101.88061243217665,100.0,100.0,96.19780330331508,100.0,100.0,100.0,101.08408780466337,100.0,100.97827880302917
2021-12-24,2021_12.csv,97.57157619913896,98.182252210018,98.97748766901427,100.0,100.0,84.24435221300834,100.0,100.0,100.0,97.09366583686587,100.0,92.91702955601916
2021-12-25,2021_12.csv,97.58604493958346,98.2167499796832,99.01365941409559,100.0,100.0,84.24435221300834,100.0,100.0,100.0,97.09366583686587,100.0,92.91702955601916
2021-12-26,2021_12.csv,97.61352926755461,98.279555216206,99.20938709677385,100.0,100.0,84.24435221300834,100.0,100.0,100.0,97.09366583686587,100.0,92.91702955601916
2021-12-27,2021_12.csv,97.61352926755461,98.279555216206,99.20938709677385,100.0,100.0,84.24435221300834,100.0,100.0,100.0,97.09366583686587,100.0,92.91702955601916
2021-12-28,2021_12.csv,97.60974367529678,98.25375486672206,99.20938709677385,100.0,100.0,84.28818899513522,100.0,100.0,100.0,97.09366583686587,100.0,92.97173964649167
2021-12-29,2021_12.csv,97.23067435914145,98.18489200335456,99.20938709677385,100.0,100.0,78.43483333794674,100.0,100.0,100.0,97.17616072323204,100.0,92.97173964649167
