Date,CPI Equ. Basket
7/1/24,100
8/1/24,102.3174357
9/1/24,103.6888352
10/1/24,106.3581787
11/1/24,108.3262107
12/1/24,109.8442743
1/1/25,112.3375649
2/1/25,114.054441
3/1/25,116.9084064
4/1/25,118.3251577
5/1/25,124.958104
6/1/25,134.6800662
7/1/25,136.4018673
8/1/25,137.9431976
9/1/25,138.1059728
10/1/25,139.4947095
11/1/25,140.278961
12/1/25,138.4241763
1/1/26,137.8397862
2/1/26,136.1160361
3/1/26,135.2608126
4/1/26,135.3534243
