date,month,data_source,cpi
2024-11-16,2024-11,2024_11.csv,109.007557
2024-11-17,2024-11,2024_11.csv,108.987438
2024-11-18,2024-11,2024_11.csv,109.017917
2024-11-19,2024-11,2024_11.csv,109.023239
2024-11-20,2024-11,2024_11.csv,109.187521
2024-11-21,2024-11,2024_11.csv,109.225468
2024-11-22,2024-11,2024_11.csv,109.239897
2024-11-23,2024-11,2024_11.csv,109.250484
2024-11-24,2024-11,2024_11.csv,109.283282
2024-11-25,2024-11,2024_11.csv,109.25162
2024-11-26,2024-11,2024_11.csv,109.27564
2024-11-27,2024-11,2024_11.csv,109.337592
2024-11-28,2024-11,2024_11.csv,109.324666
2024-11-29,2024-11,2024_11.csv,109.333973
2024-11-30,2024-11,2024_11.csv,109.311375
2024-12-01,2024-12,2024_12.csv,109.264658
2024-12-02,2024-12,2024_12.csv,109.295925
2024-12-03,2024-12,2024_12.csv,109.285003
2024-12-04,2024-12,2024_12.csv,109.236905
2024-12-05,2024-12,2024_12.csv,109.24195
2024-12-06,2024-12,2024_12.csv,109.291401
2024-12-07,2024-12,2024_12.csv,108.961258
2024-12-08,2024-12,2024_12.csv,108.980026
2024-12-09,2024-12,2024_12.csv,109.183936
2024-12-10,2024-12,2024_12.csv,109.197839
2024-12-11,2024-12,2024_12.csv,109.240857
2024-12-12,2024-12,2024_12.csv,109.322533
2024-12-13,2024-12,2024_12.csv,109.245633
2024-12-14,2024-12,2024_12.csv,109.34171
2024-12-15,2024-12,2024_12.csv,109.3301
2024-12-16,2024-12,2024_12.csv,109.161551
2024-12-17,2024-12,2024_12.csv,109.161613
2024-12-18,2024-12,2024_12.csv,109.164496
2024-12-19,2024-12,2024_12.csv,109.173058
2024-12-20,2024-12,2024_12.csv,109.173058
2024-12-21,2024-12,2024_12.csv,109.200717
2024-12-22,2024-12,2024_12.csv,109.208274
2024-12-23,2024-12,2024_12.csv,109.219092
2024-12-24,2024-12,2024_12.csv,109.24374
2024-12-25,2024-12,2024_12.csv,109.293019
2024-12-26,2024-12,2024_12.csv,109.309069
2024-12-27,2024-12,2024_12.csv,109.741717
2024-12-28,2024-12,2024_12.csv,109.70336
2024-12-29,2024-12,2024_12.csv,109.742032
2024-12-30,2024-12,2024_12.csv,109.822286
2024-12-31,2024-12,2024_12.csv,109.834065
2025-01-01,2025-01,2025_01.csv,110.05008
2025-01-02,2025-01,2025_01.csv,109.959865
2025-01-03,2025-01,2025_01.csv,109.959904
2025-01-04,2025-01,2025_01.csv,109.971046
2025-01-05,2025-01,2025_01.csv,109.987403
2025-01-06,2025-01,2025_01.csv,110.036429
2025-01-07,2025-01,2025_01.csv,110.234189
2025-01-08,2025-01,2025_01.csv,110.234189
2025-01-09,2025-01,2025_01.csv,110.272713
2025-01-10,2025-01,2025_01.csv,110.271552
2025-01-11,2025-01,2025_01.csv,110.300901
2025-01-12,2025-01,2025_01.csv,110.237306
2025-01-13,2025-01,2025_01.csv,110.243837
2025-01-14,2025-01,2025_01.csv,110.200314
2025-01-15,2025-01,2025_01.csv,110.286985
2025-01-16,2025-01,2025_01.csv,110.355287
2025-01-17,2025-01,2025_01.csv,110.407682
2025-01-18,2025-01,2025_01.csv,110.408854
2025-01-19,2025-01,2025_01.csv,110.448796
2025-01-20,2025-01,2025_01.csv,110.474265
2025-01-21,2025-01,2025_01.csv,110.471808
2025-01-22,2025-01,2025_01.csv,110.572052
2025-01-23,2025-01,2025_01.csv,110.582338
2025-01-24,2025-01,2025_01.csv,110.576988
2025-01-25,2025-01,2025_01.csv,110.617043
2025-01-26,2025-01,2025_01.csv,110.666845
2025-01-27,2025-01,2025_01.csv,110.696015
2025-01-28,2025-01,2025_01.csv,110.697961
2025-01-29,2025-01,2025_01.csv,110.759386
2025-01-30,2025-01,2025_01.csv,110.812941
2025-01-31,2025-01,2025_01.csv,110.720591
2025-02-01,2025-02,2025_02.csv,110.715321
2025-02-02,2025-02,2025_02.csv,110.881028
2025-02-03,2025-02,2025_02.csv,110.920945
2025-02-04,2025-02,2025_02.csv,110.921004
2025-02-05,2025-02,2025_02.csv,110.961583
2025-02-06,2025-02,2025_02.csv,111.061419
2025-02-07,2025-02,2025_02.csv,111.092507
2025-02-08,2025-02,2025_02.csv,111.055656
2025-02-09,2025-02,2025_02.csv,111.138604
2025-02-10,2025-02,2025_02.csv,111.120208
2025-02-11,2025-02,2025_02.csv,111.138328
2025-02-12,2025-02,2025_02.csv,111.139554
2025-02-13,2025-02,2025_02.csv,111.203963
2025-02-14,2025-02,2025_02.csv,111.242281
2025-02-15,2025-02,2025_02.csv,111.25156
2025-02-16,2025-02,2025_02.csv,111.253875
2025-02-17,2025-02,2025_02.csv,111.296594
2025-02-18,2025-02,2025_02.csv,111.296017
2025-02-19,2025-02,2025_02.csv,111.356355
2025-02-20,2025-02,2025_02.csv,111.429663
2025-02-21,2025-02,2025_02.csv,111.379918
2025-02-22,2025-02,2025_02.csv,111.415341
2025-02-23,2025-02,2025_02.csv,111.426657
2025-02-24,2025-02,2025_02.csv,111.435519
2025-02-25,2025-02,2025_02.csv,111.435263
2025-02-26,2025-02,2025_02.csv,111.470936
2025-02-27,2025-02,2025_02.csv,111.509264
2025-02-28,2025-02,2025_02.csv,111.552272
2025-03-01,2025-03,2025_03.csv,111.491006
2025-03-02,2025-03,2025_03.csv,111.626377
2025-03-03,2025-03,2025_03.csv,111.627452
2025-03-04,2025-03,2025_03.csv,111.625943
2025-03-05,2025-03,2025_03.csv,111.630391
2025-03-06,2025-03,2025_03.csv,111.630182
2025-03-07,2025-03,2025_03.csv,111.756432
2025-03-08,2025-03,2025_03.csv,111.861573
2025-03-09,2025-03,2025_03.csv,111.863895
2025-03-10,2025-03,2025_03.csv,111.876389
2025-03-11,2025-03,2025_03.csv,111.875941
2025-03-12,2025-03,2025_03.csv,111.844751
2025-03-13,2025-03,2025_03.csv,111.866531
2025-03-14,2025-03,2025_03.csv,111.883861
2025-03-15,2025-03,2025_03.csv,111.878318
2025-03-16,2025-03,2025_03.csv,111.808188
2025-03-17,2025-03,2025_03.csv,111.805204
2025-03-18,2025-03,2025_03.csv,111.802703
2025-03-19,2025-03,2025_03.csv,111.828343
2025-03-20,2025-03,2025_03.csv,111.832723
2025-03-21,2025-03,2025_03.csv,111.860763
2025-03-22,2025-03,2025_03.csv,111.902275
2025-03-23,2025-03,2025_03.csv,111.939527
2025-03-24,2025-03,2025_03.csv,111.975862
2025-03-25,2025-03,2025_03.csv,111.992255
2025-03-26,2025-03,2025_03.csv,112.028519
2025-03-27,2025-03,2025_03.csv,112.186449
2025-03-28,2025-03,2025_03.csv,112.249681
2025-03-29,2025-03,2025_03.csv,112.408519
2025-03-30,2025-03,2025_03.csv,112.56373
2025-03-31,2025-03,2025_03.csv,112.591457
2025-04-01,2025-04,2025_04.csv,112.478994
2025-04-02,2025-04,2025_04.csv,112.86076
2025-04-03,2025-04,2025_04.csv,112.944806
2025-04-04,2025-04,2025_04.csv,112.980497
2025-04-05,2025-04,2025_04.csv,113.183632
