fecha,id_producto,precio,oferta
2026-03-01,1007,15.0,0
2026-03-01,1015,15.6,0
2026-03-01,1023,15.0,0
2026-03-01,1031,15.0,0
2026-03-01,1082,26.9,0
2026-03-01,1090,28.0,0
2026-03-01,1104,26.9,0
2026-03-01,1112,26.9,0
2026-03-01,1120,26.9,0
2026-03-01,1139,26.9,0
2026-03-01,1155,26.9,0
2026-03-01,1163,27.5,0
2026-03-01,1198,56.0,0
2026-03-01,1606,69.5,0
2026-03-01,1621,37.5,0
2026-03-01,1623,37.5,0
2026-03-01,1624,33.5,0
2026-03-01,1625,33.5,0
2026-03-01,1629,25.0,0
2026-03-01,1655,13.2,0
2026-03-01,1656,12.5,0
2026-03-01,1657,12.5,0
2026-03-01,1659,15.5,0
2026-03-01,1661,15.5,0
2026-03-01,1717,83.0,0
2026-03-01,1718,82.9,0
2026-03-01,1731,10.9,0
2026-03-01,1746,9.0,0
2026-03-01,1747,28.0,0
2026-03-01,1756,62.5,0
2026-03-01,1758,17.5,0
2026-03-01,1795,46.5,0
2026-03-01,1799,171.4,0
2026-03-01,1800,87.1,0
2026-03-01,1801,20.0,0
2026-03-01,1825,66.0,0
2026-03-01,1831,15.5,0
2026-03-01,1832,21.5,0
2026-03-01,1833,22.0,0
2026-03-01,1834,22.0,0
2026-03-01,1839,4.5,0
2026-03-01,1840,4.5,0
2026-03-01,1846,20.0,0
2026-03-01,1849,8.7,0
2026-03-01,1863,8.0,0
2026-03-01,1867,375.0,0
2026-03-01,1870,48.5,0
2026-03-01,1880,48.5,0
2026-03-01,1883,138.0,0
2026-03-01,1885,98.0,0
2026-03-01,1888,98.0,0
2026-03-01,1889,98.0,0
2026-03-01,1891,138.0,0
2026-03-01,1920,43.9,0
2026-03-01,1971,17.5,0
2026-03-01,2194,9.9,0
2026-03-01,2585,30.0,0
2026-03-01,2640,94.9,0
2026-03-01,2677,19.5,0
2026-03-01,2718,29.0,0
2026-03-01,3265,49.3,0
2026-03-01,3270,72.3,0
2026-03-01,3573,8.4,0
2026-03-01,3705,135.0,0
2026-03-01,3710,53.5,0
2026-03-01,3751,18.0,0
2026-03-01,3757,15.0,0
2026-03-01,3794,19.2,0
2026-03-01,3824,19.2,0
2026-03-01,3871,95.0,0
2026-03-01,3883,18.0,0
2026-03-01,4795,30.5,0
2026-03-01,4797,32.5,0
2026-03-01,4928,11.0,0
2026-03-01,4944,11.0,0
2026-03-01,5003,19.9,0
2026-03-01,5007,34.3,0
2026-03-01,5008,9.1,0
2026-03-01,5009,49.0,0
2026-03-01,5011,7.5,0
2026-03-01,5012,6.3,0
2026-03-01,5014,47.2,0
2026-03-01,5015,12.2,0
2026-03-01,5016,9.1,0
2026-03-01,5017,6.4,0
2026-03-01,5018,11.6,0
2026-03-01,5021,27.7,0
2026-03-01,5023,12.0,0
2026-03-01,5025,9.2,0
2026-03-01,5026,21.5,0
2026-03-01,5028,40.0,0
2026-03-01,5030,7.4,0
2026-03-01,5031,11.7,0
2026-03-01,5032,18.4,0
2026-03-01,5035,65.0,0
2026-03-01,5036,13.9,0
2026-03-01,5038,6.5,0
2026-03-01,5040,15.3,0
2026-03-01,5044,10.2,0
2026-03-01,5048,112.6,0
2026-03-01,5049,118.9,0
2026-03-01,5050,38.0,0
2026-03-01,5054,11.3,0
2026-03-01,5055,24.6,0
2026-03-01,5056,14.7,0
2026-03-01,5057,12.5,0
2026-03-01,5059,12.2,0
2026-03-01,5060,12.1,0
2026-03-01,5062,9.7,0
2026-03-01,5063,11.5,0
2026-03-01,5064,11.3,0
2026-03-01,5065,9.6,0
2026-03-01,5067,12.3,0
2026-03-01,5068,18.9,0
2026-03-01,5070,48.5,0
2026-03-01,5071,23.3,0
2026-03-01,5072,10.8,0
2026-03-01,5073,12.5,0
2026-03-01,5075,26.6,0
2026-03-01,5077,13.3,0
2026-03-01,5081,13.5,0
2026-03-01,5083,16.0,0
2026-03-01,5085,17.8,0
2026-03-01,5086,42.3,0
2026-03-01,5087,11.3,0
2026-03-01,5088,9.5,0
2026-03-01,5089,14.0,0
2026-03-01,5093,5.8,0
2026-03-01,5094,14.7,0
2026-03-01,5095,11.2,0
2026-03-01,5097,19.0,0
2026-03-01,5098,9.6,0
2026-03-01,5101,8.8,0
2026-03-01,5102,10.5,0
2026-03-01,5103,12.6,0
2026-03-01,5104,17.9,0
2026-03-01,5105,10.3,0
2026-03-01,5106,17.5,0
2026-03-01,5107,12.1,0
2026-03-01,5108,7.8,0
2026-03-01,5111,10.4,0
2026-03-01,5113,12.6,0
2026-03-01,5114,27.5,0
2026-03-01,5115,8.1,0
2026-03-01,5118,11.0,0
2026-03-01,5119,54.9,0
2026-03-01,5121,9.0,0
2026-03-01,5123,36.0,0
2026-03-01,5126,6.0,0
2026-03-01,5127,21.1,0
2026-03-01,5129,28.6,0
2026-03-01,5134,26.6,0
2026-03-01,5135,65.0,0
2026-03-01,5139,20.0,0
2026-03-01,5154,20.0,0
2026-03-01,5156,24.0,0
2026-03-01,5157,25.0,0
2026-03-01,5158,27.1,0
2026-03-01,5164,20.0,0
2026-03-01,5165,28.0,0
2026-03-01,5166,24.0,0
2026-03-01,5167,24.5,0
2026-03-01,5168,65.0,0
2026-03-01,5171,30.0,0
2026-03-01,5173,18.3,0
2026-03-01,5175,21.0,0
2026-03-01,5178,42.0,0
2026-03-01,5187,17.2,0
2026-03-01,5196,10.5,0
2026-03-01,5199,20.7,0
2026-03-01,5200,10.0,0
2026-03-01,5201,67.2,0
2026-03-01,5202,24.0,0
2026-03-01,5203,34.0,0
2026-03-01,5205,21.0,0
2026-03-01,5209,75.0,0
2026-03-01,5212,23.5,0
2026-03-01,5213,21.0,0
2026-03-01,5220,31.6,0
2026-03-01,5226,13.0,0
2026-03-01,5230,25.0,0
2026-03-01,5231,7.0,0
2026-03-01,5235,34.7,0
2026-03-01,5236,80.0,0
2026-03-01,5290,16.0,0
2026-03-01,5355,16.0,0
2026-03-01,5363,16.0,0
2026-03-01,5398,11.9,0
2026-03-01,5448,19.7,0
2026-03-01,5472,29.1,0
2026-03-01,5521,13.0,0
2026-03-01,5522,11.8,0
2026-03-01,5523,13.4,0
2026-03-01,5535,25.5,0
2026-03-01,5549,22.9,0
2026-03-01,5634,25.6,0
2026-03-01,5726,36.0,0
2026-03-01,5727,39.0,0
2026-03-01,5729,30.0,0
2026-03-01,5730,25.0,0
2026-03-01,5788,29.9,0
2026-03-01,6715,45.5,0
2026-03-01,6717,45.5,0
2026-03-01,6720,45.5,0
2026-03-01,6728,47.5,0
2026-03-01,6735,18.5,0
2026-03-01,6736,37.0,0
2026-03-01,6737,41.0,0
2026-03-01,6748,10.5,0
2026-03-01,6753,6.0,0
2026-03-01,6754,6.0,0
2026-03-01,6756,6.0,0
2026-03-01,6778,18.5,0
2026-03-01,6788,25.0,0
2026-03-01,6878,35.4,0
2026-03-01,7975,50.0,0
2026-03-01,8176,37.5,0
2026-03-01,8184,38.5,0
2026-03-01,8192,36.0,0
2026-03-01,8206,38.5,0
2026-03-01,8210,7.0,0
2026-03-01,8214,20.0,0
2026-03-01,8222,20.0,0
2026-03-01,8257,20.5,0
2026-03-01,8265,22.5,0
2026-03-01,8354,28.0,0
2026-03-01,8362,28.0,0
2026-03-01,8487,57.2,0
2026-03-01,8774,31.0,0
2026-03-01,8775,31.0,0
2026-03-01,9202,31.0,0
2026-03-01,10187,112.5,0
2026-03-01,10669,7.9,0
2026-03-01,10971,21.5,0
2026-03-01,10972,43.5,0
2026-03-01,10973,43.5,0
2026-03-01,10974,10.0,0
2026-03-01,11045,62.5,0
2026-03-01,11053,113.6,0
2026-03-01,11078,14.5,0
2026-03-01,11080,14.5,0
2026-03-01,11096,42.6,0
2026-03-01,11201,27.5,0
2026-03-01,11223,21.9,0
2026-03-01,11339,38.2,0
2026-03-01,11347,38.2,0
2026-03-01,11363,38.2,0
2026-03-01,11571,34.5,0
2026-03-01,11649,29.0,0
2026-03-01,11671,10.0,0
2026-03-01,11672,10.0,0
2026-03-01,11738,24.5,0
2026-03-01,11784,29.0,0
2026-03-01,11785,29.0,0
2026-03-01,12105,20.0,0
2026-03-01,12173,11.5,0
2026-03-01,12174,7.0,0
2026-03-01,12175,4.5,0
2026-03-01,12177,8.5,0
2026-03-01,12180,8.5,0
2026-03-01,12183,104.0,0
2026-03-01,12184,96.0,0
2026-03-01,12185,9.5,0
2026-03-01,12187,14.0,0
2026-03-01,12191,24.0,0
2026-03-01,12192,77.0,0
2026-03-01,12193,52.0,0
2026-03-01,12194,68.0,0
2026-03-01,12197,135.0,0
2026-03-01,12204,23.0,0
2026-03-01,12331,80.8,0
2026-03-01,12332,80.8,0
2026-03-01,12338,80.8,0
2026-03-01,12561,19.0,0
2026-03-01,12562,53.0,0
2026-03-01,13200,5.0,0
2026-03-01,13226,8.0,0
2026-03-01,13293,12.5,0
2026-03-01,13773,103.0,0
2026-03-01,14013,88.0,0
2026-03-01,14014,42.5,0
2026-03-01,14015,25.0,0
2026-03-01,14020,22.5,0
2026-03-01,14030,15.9,0
