date,data_source,cpi,Alimentos y Bebidas No Alcohólicas,Bebidas Alcohólicas y Tabaco,Bienes y Servicios Diversos,"Muebles, Bienes y Servicios Domésticos",Prendas de Vestir y Calzado
2024-07-29,2024_07.csv,100.00000000000003,100.0,100.0,100.0,100.0,100.0
2024-07-30,2024_07.csv,100.09942188477117,100.11370915570916,100.00220530224739,100.22751213521946,100.01446877605812,100.0
2024-07-31,2024_07.csv,100.09942188477117,100.11370915570916,100.00220530224739,100.22751213521946,100.01446877605812,100.0
2024-08-01,2024_08.csv,100.62222609449228,100.7170528451591,100.66408986104081,101.09857877546506,100.37629098682932,100.0
2024-08-02,2024_08.csv,100.98226757762279,101.09642586066956,101.23435306077617,102.02961318382233,100.35850527426756,100.0
2024-08-03,2024_08.csv,100.7855768015458,100.78295185270278,100.91289849584606,101.97817384385901,100.27469538294858,100.0
2024-08-04,2024_08.csv,100.79223596759567,100.76560115929705,100.94206435189245,102.0399921487726,100.32474150731885,100.0
2024-08-05,2024_08.csv,100.79223596759567,100.76560115929705,100.94206435189245,102.0399921487726,100.32474150731885,100.0
2024-08-06,2024_08.csv,100.79880744888663,100.77199986099792,100.94206435189245,102.05131867619276,100.33529952142675,100.0
2024-08-07,2024_08.csv,101.21705889602732,101.08820410771324,101.16116361328748,102.1961175719759,100.96594206336516,100.9089763245675
2024-08-08,2024_08.csv,101.19729938355283,101.05232883617327,101.16116361328748,102.1961175719759,100.96594206336516,100.9089763245675
2024-08-09,2024_08.csv,102.47609670547341,101.52076305396487,101.19648284736577,102.77817688342081,102.58224346625953,105.6574870700068
2024-08-10,2024_08.csv,102.90540848832094,101.70560102572888,101.20717531133157,104.53901542984647,103.04057109480587,105.6574870700068
2024-08-11,2024_08.csv,103.3786353789954,102.56465906449057,101.20717531133157,104.53948253050132,103.04057109480587,105.6574870700068
2024-08-12,2024_08.csv,103.37376449501141,102.57566443735251,101.20717531133157,104.55444725737364,102.93364747512446,105.6574870700068
2024-08-13,2024_08.csv,103.41261548100152,102.61190349681692,101.20550594529156,104.59101749450184,103.041128354135,105.6574870700068
2024-08-14,2024_08.csv,103.41261548100152,102.61190349681692,101.20550594529156,104.59101749450184,103.041128354135,105.6574870700068
2024-08-15,2024_08.csv,103.4101519099075,102.60545867510804,101.20550594529156,104.59101749450184,103.04990493762074,105.6574870700068
2024-08-16,2024_08.csv,103.52760114895912,102.8071199836052,101.20550594529156,104.62028102843813,103.06510007338625,105.6574870700068
2024-08-17,2024_08.csv,103.48019338841263,102.72104669182215,101.20550594529156,104.62028102843813,103.06510007338625,105.6574870700068
2024-08-18,2024_08.csv,103.49417540699605,102.72055851330433,101.21026303977396,104.69781011873371,103.0832934629947,105.6574870700068
2024-08-19,2024_08.csv,103.48393005191646,102.71574985591714,101.21026303977396,104.6334562747757,103.1018196958434,105.6574870700068
2024-08-20,2024_08.csv,103.4816866119045,102.71574985591714,101.21026303977396,104.6334562747757,103.08369137219404,105.6574870700068
2024-08-21,2024_08.csv,103.56739786538951,102.90318379966388,101.21026303977396,104.50923403996921,103.09634091803636,105.6574870700068
2024-08-22,2024_08.csv,103.59311717886607,102.94646300751542,101.21026303977396,104.52147966998784,103.09634091803636,105.6574870700068
2024-08-23,2024_08.csv,103.68094360693112,102.9918338132559,101.21026303977396,104.8585655586663,103.18551525158523,105.6574870700068
2024-08-24,2024_08.csv,103.70802554585062,103.04162807464954,101.21026303977396,104.8647349713206,103.17507510031257,105.6574870700068
2024-08-25,2024_08.csv,103.72757205377935,103.056717668032,101.21026303977396,104.9378469630569,103.17507510031257,105.6574870700068
2024-08-26,2024_08.csv,103.73832240451328,103.072186391989,101.21026303977396,104.9378469630569,103.1930983011812,105.6574870700068
2024-08-27,2024_08.csv,103.73412599377836,103.072186391989,101.21026303977396,104.9378469630569,103.15918881772619,105.6574870700068
2024-08-28,2024_08.csv,104.5041491099932,103.6176782396065,102.17661057644693,107.22928693932816,103.74590458355573,105.83635437076622
2024-08-29,2024_08.csv,104.55348821577172,103.68802675792952,102.1623413325548,107.24522846025977,103.81376606590271,105.83635437076622
2024-08-30,2024_08.csv,104.95609971324491,104.12637048406737,103.09332365565172,107.82506569810528,104.2614117980589,105.83635437076622
2024-08-31,2024_08.csv,105.28886502970106,104.60476224487805,103.47518301159857,108.11006554485796,104.4120193430814,105.83635437076622
2024-09-01,2024_09.csv,106.6549993083554,105.19061135481194,103.51135235911786,109.19531970729048,105.12516804057583,110.95588587374611
2024-09-02,2024_09.csv,106.7031956527681,105.27924826791852,103.51135235911786,109.19531970729048,105.12013046365685,110.95588587374611
2024-09-03,2024_09.csv,106.7031956527681,105.27924826791852,103.51135235911786,109.19531970729048,105.12013046365685,110.95588587374611
2024-09-04,2024_09.csv,106.84685598476983,105.40456482489968,103.86242317947601,109.5983721458612,105.17193603046782,110.95588587374611
2024-09-05,2024_09.csv,106.89753375998748,105.49253535809504,104.02475912948918,109.5229525449756,105.26007399409474,110.95588587374611
2024-09-06,2024_09.csv,106.9512243521128,105.55000695075817,104.02475912948918,109.59889375020309,105.34383738129608,110.95588587374611
2024-09-07,2024_09.csv,106.91143788612504,105.46871890860083,104.08844161434352,109.62909002775115,105.33741022087497,110.95588587374611
2024-09-08,2024_09.csv,106.93552517763385,105.49644389297282,104.09300343783188,109.65129257780093,105.38042451317379,110.95588587374611
2024-09-09,2024_09.csv,106.94253723509749,105.50544164216895,104.09807511644769,109.66408200995453,105.38042451317379,110.95588587374611
2024-09-10,2024_09.csv,106.94287631970784,105.50204088705163,104.09807511644769,109.66408200995453,105.39830011521005,110.95588587374611
2024-09-11,2024_09.csv,106.9601446820474,105.53681907922652,104.09807511644769,109.66408200995453,105.38305287203403,110.95588587374611
2024-09-12,2024_09.csv,106.91889430265607,105.55402010667669,104.1224274888195,109.67479930939426,104.95633631927832,110.95588587374611
2024-09-13,2024_09.csv,106.95289206356469,105.56727285488934,104.1224274888195,109.72125068481166,105.11439269138427,110.95588587374611
2024-09-14,2024_09.csv,106.79043668767187,105.46800552244078,103.59788353500446,109.30319551584853,104.83851384327131,110.95588587374611
2024-09-15,2024_09.csv,106.89717955820473,105.60100762067263,103.54289086313474,109.31682675135568,105.10014512193773,110.95588587374611
2024-09-16,2024_09.csv,106.89220247347242,105.59197125064684,103.54289086313474,109.31682675135568,105.10014512193773,110.95588587374611
2024-09-17,2024_09.csv,106.89220247347242,105.59197125064684,103.54289086313474,109.31682675135568,105.10014512193773,110.95588587374611
2024-09-18,2024_09.csv,106.96527484278778,105.72045749123986,103.54289086313474,109.31763136161999,105.11776568551039,110.95588587374611
2024-09-19,2024_09.csv,106.99964965838612,105.75059348878177,103.54289086313474,109.32427936884615,105.2531541957578,110.95588587374611
2024-09-20,2024_09.csv,107.02117309680034,105.78455809829413,103.60001420823383,109.33324195138798,105.25651408950895,110.95588587374611
2024-09-21,2024_09.csv,107.01699455205787,105.7734106746051,103.60001420823383,109.34382606376687,105.25921924302321,110.95588587374611
2024-09-22,2024_09.csv,107.01627328003264,105.75520542852072,103.62895963685834,109.34382606376687,105.33022679026907,110.95588587374611
2024-09-23,2024_09.csv,107.03470397281836,105.78234534541706,103.62982610658457,109.36638649979191,105.33022679026907,110.95588587374611
2024-09-24,2024_09.csv,107.03470397281836,105.78234534541706,103.62982610658457,109.36638649979191,105.33022679026907,110.95588587374611
2024-09-25,2024_09.csv,107.02875604278455,105.7962168971085,103.6382603914359,109.27698144522215,105.33022679026907,110.95588587374611
2024-09-26,2024_09.csv,107.03030372409364,105.79776127282197,103.64593350416467,109.28062309246822,105.33022679026907,110.95588587374611
2024-09-27,2024_09.csv,107.03158794654897,105.79775750435947,103.64593350416467,109.28062309246822,105.34062084024039,110.95588587374611
2024-09-28,2024_09.csv,107.05007265135708,105.81895131754244,103.64593350416467,109.28262309850518,105.39317822789052,110.95588587374611
2024-09-29,2024_09.csv,107.06274674557685,105.85005115190715,103.64593350416467,109.28262309850518,105.3571776902438,110.95588587374611
2024-09-30,2024_09.csv,107.27362999207179,106.2196723603271,103.69090889991237,109.32489669482233,105.3571776902438,110.95588587374611
2024-10-01,2024_10.csv,107.27271998582219,106.21802015755391,103.69090889991237,109.32489669482233,105.3571776902438,110.95588587374611
2024-10-02,2024_10.csv,107.89889911096648,107.0051304871971,104.34584129808017,110.24165156134926,105.68071965496885,110.95588587374611
2024-10-03,2024_10.csv,108.03004043832419,106.98596302260941,104.55251642367827,110.91651834638441,105.95777996208821,110.95588587374611
2024-10-04,2024_10.csv,108.14132474252108,107.05903984309137,104.69783374140897,111.07570253415793,106.31307918012416,110.95588587374611
2024-10-05,2024_10.csv,108.16477633155338,107.10239989641555,104.69783374140897,111.09125152235428,106.29029277639421,110.95588587374611
