date,la_paz_cpi,cochabamba_cpi,santa_cruz_cpi,cpi
2024-07-28,100.0,100.0,100.0,100.0
2024-07-29,100.0,100.0,100.0,100.0
2024-07-30,100.0,100.0,100.0,100.0
2024-07-31,100.0,100.0,100.0,100.0
2024-08-01,100.569111,100.574596,100.060609,100.35929360387681
2024-08-02,100.925908,100.867526,100.387127,100.69112339606184
2024-08-03,100.726086,100.672697,100.440431,100.5972466335052
2024-08-04,100.732478,100.680042,100.46968,100.61330294306424
2024-08-05,100.749319,100.685707,100.475577,100.6234336862043
2024-08-06,100.749684,100.68269,100.469251,100.62036667092416
2024-08-07,101.165522,100.91419,100.82447,100.97524617389871
2024-08-08,101.145499,100.91419,100.82447,100.96741769444861
2024-08-09,102.427114,102.501408,101.009011,101.85344215942905
2024-08-10,102.848749,102.890338,102.405988,102.67321076182037
2024-08-11,103.320526,103.375256,102.588229,103.02746640353543
2024-08-12,103.343899,103.367613,102.891457,103.1608725996145
2024-08-13,103.378348,103.428499,102.905605,103.19203948072412
2024-08-14,103.378348,103.428499,102.905605,103.19203948072412
2024-08-15,103.353434,103.432027,102.939867,103.19719322604479
2024-08-16,103.436922,103.474102,103.271117,103.3753847349773
2024-08-17,103.398198,103.458854,103.328988,103.38128173631854
2024-08-18,103.41188,103.505975,103.388734,103.42056471650926
2024-08-19,103.402615,103.509057,103.584753,103.4988331427207
2024-08-20,103.418222,103.515769,103.593364,103.50981040256536
2024-08-21,103.519343,103.653399,103.72304,103.62986768019479
2024-08-22,103.540151,103.698003,103.898077,103.71926052106687
2024-08-23,103.613394,103.809268,103.915685,103.77681897102337
2024-08-24,103.633494,104.010773,104.230271,103.95429560789364
2024-08-25,103.655516,104.039764,104.266123,103.98340726435421
2024-08-26,103.67557,104.052729,104.244093,103.98463094487843
2024-08-27,103.677056,104.066053,104.246421,103.98876638899975
2024-08-28,104.45772,104.610962,104.250703,104.40164364919511
2024-08-29,104.500672,104.652052,104.337249,104.46231290929612
2024-08-30,104.89891,105.072519,104.420601,104.73428243546303
2024-08-31,105.226769,105.414935,104.651604,105.02480242654225
2024-09-01,106.387805,106.765645,104.623987,105.72974245715
